Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	QCHeLa10ng_ColTT1_BackFlush_02 Spectral Count	QCHeLa10ng_ColTT1_BackFlush_03 Spectral Count	QCHeLa10ng_ColTT1_BackFlush_05 Spectral Count	QCHeLa200pg_ColTT1_BackFlush_02 Spectral Count	QCHeLa200pg_ColTT1_BackFlush_03 Spectral Count	QCHeLa200pg_ColTT1_BackFlush_04 Spectral Count	QCHeLa10ng_ColTT1_BackFlush_02 Unique Spectral Count	QCHeLa10ng_ColTT1_BackFlush_03 Unique Spectral Count	QCHeLa10ng_ColTT1_BackFlush_05 Unique Spectral Count	QCHeLa200pg_ColTT1_BackFlush_02 Unique Spectral Count	QCHeLa200pg_ColTT1_BackFlush_03 Unique Spectral Count	QCHeLa200pg_ColTT1_BackFlush_04 Unique Spectral Count	QCHeLa10ng_ColTT1_BackFlush_02 Total Spectral Count	QCHeLa10ng_ColTT1_BackFlush_03 Total Spectral Count	QCHeLa10ng_ColTT1_BackFlush_05 Total Spectral Count	QCHeLa200pg_ColTT1_BackFlush_02 Total Spectral Count	QCHeLa200pg_ColTT1_BackFlush_03 Total Spectral Count	QCHeLa200pg_ColTT1_BackFlush_04 Total Spectral Count	QCHeLa10ng_ColTT1_BackFlush_02 Intensity	QCHeLa10ng_ColTT1_BackFlush_03 Intensity	QCHeLa10ng_ColTT1_BackFlush_05 Intensity	QCHeLa200pg_ColTT1_BackFlush_02 Intensity	QCHeLa200pg_ColTT1_BackFlush_03 Intensity	QCHeLa200pg_ColTT1_BackFlush_04 Intensity	QCHeLa10ng_ColTT1_BackFlush_02 MaxLFQ Intensity	QCHeLa10ng_ColTT1_BackFlush_03 MaxLFQ Intensity	QCHeLa10ng_ColTT1_BackFlush_05 MaxLFQ Intensity	QCHeLa200pg_ColTT1_BackFlush_02 MaxLFQ Intensity	QCHeLa200pg_ColTT1_BackFlush_03 MaxLFQ Intensity	QCHeLa200pg_ColTT1_BackFlush_04 MaxLFQ Intensity	Indistinguishable Proteins
sp|P30044|PRDX5_HUMAN	P30044	PRDX5_HUMAN	PRDX5	214	Homo sapiens	1:Experimental evidence at protein level	Peroxiredoxin-5, mitochondrial	1.0	0.999	8	77	77	77	18	18	15	8	10	8	18	18	15	8	10	8	18	18	15	8	10	8	2.95837363E9	3.02578406E9	2.90807706E9	1.82762074E9	1.91224038E9	2.02841613E9	6.6493805E8	6.8202637E8	6.4649024E8	4.89089504E8	4.12674016E8	4.4932208E8	
sp|P30046|DOPD_HUMAN	P30046	DOPD_HUMAN	DDT	118	Homo sapiens	1:Experimental evidence at protein level	D-dopachrome decarboxylase	1.0	0.999	4	22	5	22	5	7	5	2	1	2	2	2	1	0	0	0	5	7	5	2	1	2	3.35295296E8	3.15686464E8	3.29095776E8	1.81216448E8	2.02842016E8	1.90863584E8	1.02303392E8	9.5720712E7	9.8067768E7	1.00935712E8	1.12981888E8	1.06029672E8	
sp|P30047|GFRP_HUMAN	P30047	GFRP_HUMAN	GCHFR	84	Homo sapiens	1:Experimental evidence at protein level	GTP cyclohydrolase 1 feedback regulatory protein	1.0	0.999	3	7	7	7	3	2	2	0	0	0	3	2	2	0	0	0	3	2	2	0	0	0	2.5930316E7	2.2769582E7	4.8498032E7	0.0	0.0	0.0	1.7026832E7	1.4742988E7	2.638197E7	0.0	0.0	0.0	
sp|P30048|PRDX3_HUMAN	P30048	PRDX3_HUMAN	PRDX3	256	Homo sapiens	1:Experimental evidence at protein level	Thioredoxin-dependent peroxide reductase, mitochondrial	1.0	0.999	8	61	61	61	12	11	12	8	9	9	12	11	12	8	9	9	12	11	12	8	9	9	1.12055731E9	9.9518387E8	1.13749517E9	8.872265E8	8.6114278E8	8.9481485E8	2.22783088E8	2.1813376E8	2.15053568E8	1.85638032E8	1.81675696E8	1.83675696E8	
sp|P30049|ATPD_HUMAN	P30049	ATPD_HUMAN	ATP5F1D	168	Homo sapiens	1:Experimental evidence at protein level	ATP synthase subunit delta, mitochondrial	1.0	0.999	2	16	16	16	4	3	3	2	2	2	4	3	3	2	2	2	4	3	3	2	2	2	2.57283936E8	2.4311472E8	2.48790336E8	2.50862048E8	2.44574288E8	2.5536864E8	1.38405472E8	1.28926544E8	1.33751992E8	1.43527088E8	1.39898016E8	1.45783136E8	
sp|P30050|RL12_HUMAN	P30050	RL12_HUMAN	RPL12	165	Homo sapiens	1:Experimental evidence at protein level	60S ribosomal protein L12	1.0	0.999	7	58	58	58	12	12	10	8	8	8	12	12	10	8	8	8	12	12	10	8	8	8	2.23594547E9	2.31299226E9	2.2728407E9	1.96237875E9	1.88341299E9	2.00237184E9	5.19582656E8	5.5865242E8	5.22406656E8	4.52477632E8	4.27724064E8	4.57932544E8	
sp|P30084|ECHM_HUMAN	P30084	ECHM_HUMAN	ECHS1	290	Homo sapiens	1:Experimental evidence at protein level	Enoyl-CoA hydratase, mitochondrial	1.0	0.999	11	56	56	56	16	20	14	1	3	2	16	20	14	1	3	2	16	20	14	1	3	2	7.597015E8	7.9556486E8	8.0455309E8	8.1427536E7	3.13210112E8	1.79862816E8	1.26100632E8	1.26381376E8	1.27385136E8	0.0	1.19734576E8	9.7891392E7	
sp|P30085|KCY_HUMAN	P30085	KCY_HUMAN	CMPK1	196	Homo sapiens	1:Experimental evidence at protein level	UMP-CMP kinase	1.0	0.999	8	26	26	26	7	10	7	1	1	0	7	10	7	1	1	0	7	10	7	1	1	0	2.10382816E8	2.17448912E8	2.1920016E8	4.53856E7	3.0522674E7	0.0	6.3001964E7	6.5773784E7	6.4436788E7	0.0	0.0	0.0	
sp|P30086|PEBP1_HUMAN	P30086	PEBP1_HUMAN	PEBP1	187	Homo sapiens	1:Experimental evidence at protein level	Phosphatidylethanolamine-binding protein 1	1.0	0.999	9	56	56	56	15	13	11	6	6	5	15	13	11	6	6	5	15	13	11	6	6	5	1.32744346E9	1.34585638E9	1.33754112E9	1.09935526E9	1.08379392E9	1.09957504E9	3.056928E8	3.21590944E8	3.06529856E8	3.16380544E8	2.9545056E8	3.29946944E8	
sp|P30101|PDIA3_HUMAN	P30101	PDIA3_HUMAN	PDIA3	505	Homo sapiens	1:Experimental evidence at protein level	Protein disulfide-isomerase A3	1.0	0.999	26	166	166	166	38	36	31	21	20	20	38	36	31	21	20	20	38	36	31	21	20	20	6.9097615E9	4.8766208E9	6.8395228E9	4.2290665E9	3.92217472E9	4.03528909E9	7.8116909E8	7.9412608E8	7.584777E8	7.1857696E8	6.975271E8	6.9295168E8	
sp|P30153|2AAA_HUMAN	P30153	2AAA_HUMAN	PPP2R1A	589	Homo sapiens	1:Experimental evidence at protein level	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	1.0	0.999	24	105	82	105	29	29	25	7	8	7	24	23	17	6	6	6	29	29	25	7	8	7	9.8004742E8	9.2923373E8	9.8288672E8	4.26110432E8	3.93930464E8	4.19434304E8	1.06760496E8	1.00738824E8	1.04928344E8	1.04508544E8	9.9389224E7	1.02864056E8	
sp|P30260|CDC27_HUMAN	P30260	CDC27_HUMAN	CDC27	824	Homo sapiens	1:Experimental evidence at protein level	Cell division cycle protein 27 homolog	1.0	0.9982	4	6	6	6	3	2	1	0	0	0	3	2	1	0	0	0	3	2	1	0	0	0	1.5741231E7	1.1680166E7	1.2931225E7	0.0	0.0	0.0	7839008.0	8687532.0	9381189.0	0.0	0.0	0.0	
sp|P30405|PPIF_HUMAN	P30405	PPIF_HUMAN	PPIF	207	Homo sapiens	1:Experimental evidence at protein level	Peptidyl-prolyl cis-trans isomerase F, mitochondrial	1.0	0.999	10	31	22	31	9	11	8	1	1	1	7	9	6	0	0	0	9	11	8	1	1	1	2.99978656E8	2.19155696E8	2.85695456E8	0.0	4.3081044E7	3.9907944E7	7.1596824E7	5.951764E7	6.6223176E7	0.0	0.0	0.0	
sp|P30408|T4S1_HUMAN	P30408	T4S1_HUMAN	TM4SF1	202	Homo sapiens	1:Experimental evidence at protein level	Transmembrane 4 L6 family member 1	0.9431	0.9972	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2.4192554E7	2.571113E7	1.7644984E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P30419|NMT1_HUMAN	P30419	NMT1_HUMAN	NMT1	496	Homo sapiens	1:Experimental evidence at protein level	Glycylpeptide N-tetradecanoyltransferase 1	1.0	0.999	9	24	17	24	8	8	5	0	2	1	5	6	3	0	2	1	8	8	5	0	2	1	1.78623616E8	1.74266464E8	1.77276592E8	0.0	1.07555288E8	4.4084728E7	5.6912952E7	5.2684408E7	5.2595228E7	0.0	6.3406884E7	0.0	
sp|P30519|HMOX2_HUMAN	P30519	HMOX2_HUMAN	HMOX2	316	Homo sapiens	1:Experimental evidence at protein level	Heme oxygenase 2	1.0	0.999	8	18	18	18	8	6	4	0	0	0	8	6	4	0	0	0	8	6	4	0	0	0	9.6623832E7	9.9752384E7	1.12037072E8	0.0	0.0	0.0	1.7863444E7	1.766618E7	2.254296E7	0.0	0.0	0.0	
sp|P30520|PURA2_HUMAN	P30520	PURA2_HUMAN	ADSS2	456	Homo sapiens	1:Experimental evidence at protein level	Adenylosuccinate synthetase isozyme 2	1.0	0.999	10	24	24	24	9	9	5	0	1	0	9	9	5	0	1	0	9	9	5	0	1	0	2.97246016E8	1.606808E8	1.578496E8	0.0	3.6083544E7	0.0	5.5723284E7	5.8765288E7	6.1601096E7	0.0	0.0	0.0	
sp|P30533|AMRP_HUMAN	P30533	AMRP_HUMAN	LRPAP1	357	Homo sapiens	1:Experimental evidence at protein level	Alpha-2-macroglobulin receptor-associated protein	1.0	0.999	8	10	10	10	5	4	1	0	0	0	5	4	1	0	0	0	5	4	1	0	0	0	4.9542816E7	6.2674536E7	4.5604396E7	0.0	0.0	0.0	1.7403722E7	1.6942978E7	1.4370475E7	0.0	0.0	0.0	
sp|P30536|TSPO_HUMAN	P30536	TSPO_HUMAN	TSPO	169	Homo sapiens	1:Experimental evidence at protein level	Translocator protein	0.9528	0.9977	1	2	2	2	1	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	2.9580748E7	2.6186176E7	2.959981E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P30566|PUR8_HUMAN	P30566	PUR8_HUMAN	ADSL	484	Homo sapiens	1:Experimental evidence at protein level	Adenylosuccinate lyase	1.0	0.999	8	18	18	18	7	7	3	0	0	1	7	7	3	0	0	1	7	7	3	0	0	1	1.15250016E8	9.9654008E7	9.0338376E7	0.0	0.0	2.69027E7	2.4682772E7	2.549579E7	2.0718736E7	0.0	0.0	0.0	
sp|P30622|CLIP1_HUMAN	P30622	CLIP1_HUMAN	CLIP1	1438	Homo sapiens	1:Experimental evidence at protein level	CAP-Gly domain-containing linker protein 1	1.0	0.999	11	16	14	16	9	7	0	0	0	0	8	6	0	0	0	0	9	7	0	0	0	0	7.8898144E7	6.380974E7	7.2911424E7	0.0	0.0	0.0	1.286116E7	1.2325972E7	1.1267601E7	0.0	0.0	0.0	
sp|P30626|SORCN_HUMAN	P30626	SORCN_HUMAN	SRI	198	Homo sapiens	1:Experimental evidence at protein level	Sorcin	1.0	0.999	9	22	22	22	8	9	5	0	0	0	8	9	5	0	0	0	8	9	5	0	0	0	1.41757296E8	1.4373632E8	1.60337456E8	0.0	0.0	0.0	4.0881528E7	3.7033628E7	4.2979376E7	0.0	0.0	0.0	
sp|P30711|GSTT1_HUMAN	P30711	GSTT1_HUMAN	GSTT1	240	Homo sapiens	1:Experimental evidence at protein level	Glutathione S-transferase theta-1	0.9768	0.9989	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	6069515.5	8816512.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P30740|ILEU_HUMAN	P30740	ILEU_HUMAN	SERPINB1	379	Homo sapiens	1:Experimental evidence at protein level	Leukocyte elastase inhibitor	1.0	0.999	15	56	54	56	18	17	12	3	4	2	17	16	12	3	4	2	18	17	12	3	4	2	5.5392262E8	5.4820678E8	5.2422832E8	1.9695352E8	1.94288368E8	1.1594592E8	7.443104E7	7.0770168E7	7.0476088E7	7.1793608E7	7.7978096E7	8.6224328E7	
sp|P30825|SL7A1_HUMAN	P30825	SL7A1_HUMAN	SLC7A1	629	Homo sapiens	1:Experimental evidence at protein level	High affinity cationic amino acid transporter 1	1.0	0.9988	4	9	7	9	4	3	2	0	0	0	3	3	1	0	0	0	4	3	2	0	0	0	5.859054E7	3.8709424E7	5.3407024E7	0.0	0.0	0.0	1.9348372E7	2.1571894E7	2.107801E7	0.0	0.0	0.0	
sp|P30837|AL1B1_HUMAN	P30837	AL1B1_HUMAN	ALDH1B1	517	Homo sapiens	1:Experimental evidence at protein level	Aldehyde dehydrogenase X, mitochondrial	1.0	0.999	10	27	22	27	10	11	6	0	0	0	8	9	5	0	0	0	10	11	6	0	0	0	1.4474984E8	1.5473968E8	1.374984E8	0.0	0.0	0.0	2.981412E7	3.0887246E7	2.842756E7	0.0	0.0	0.0	
sp|P30876|RPB2_HUMAN	P30876	RPB2_HUMAN	POLR2B	1174	Homo sapiens	1:Experimental evidence at protein level	DNA-directed RNA polymerase II subunit RPB2	1.0	0.999	10	14	14	14	9	5	0	0	0	0	9	5	0	0	0	0	9	5	0	0	0	0	9.0731232E7	9.1742408E7	7.7556664E7	0.0	0.0	0.0	1.625105E7	1.6460285E7	1.6556041E7	0.0	0.0	0.0	
sp|P31040|SDHA_HUMAN	P31040	SDHA_HUMAN	SDHA	664	Homo sapiens	1:Experimental evidence at protein level	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	1.0	0.999	23	101	101	101	30	31	20	8	6	6	30	31	20	8	6	6	30	31	20	8	6	6	8.439479E8	8.6935174E8	8.72072E8	2.64515328E8	2.53739456E8	1.6566144E8	7.1991792E7	7.2741544E7	6.7145384E7	7.126388E7	6.6875276E7	6.4776872E7	
sp|P31150|GDIA_HUMAN	P31150	GDIA_HUMAN	GDI1	447	Homo sapiens	1:Experimental evidence at protein level	Rab GDP dissociation inhibitor alpha	1.0	0.999	14	17	17	50	6	8	3	0	0	0	6	8	3	0	0	0	15	17	10	2	3	3	1.2115852E8	1.197084E8	1.213558E8	0.0	0.0	0.0	2.2034702E7	2.353819E7	2.5541098E7	0.0	0.0	0.0	
sp|P31153|METK2_HUMAN	P31153	METK2_HUMAN	MAT2A	395	Homo sapiens	1:Experimental evidence at protein level	S-adenosylmethionine synthase isoform type-2	1.0	0.999	16	89	78	89	18	22	18	10	10	11	16	19	15	9	9	10	18	22	18	10	10	11	2.27496704E9	2.37228134E9	2.20833178E9	1.46308339E9	1.43215437E9	1.42300147E9	3.29093888E8	3.3571216E8	3.13054912E8	2.97689216E8	2.87786112E8	2.97101088E8	
sp|P31327|CPSM_HUMAN	P31327	CPSM_HUMAN	CPS1	1500	Homo sapiens	1:Experimental evidence at protein level	Carbamoyl-phosphate synthase [ammonia], mitochondrial	1.0	0.999	73	516	488	516	107	116	103	65	62	63	101	111	96	62	59	59	107	116	103	65	62	63	1.30129183E10	1.35108905E10	1.30806098E10	9.2207462E9	9.5753585E9	9.0032507E9	3.87287552E8	3.88069888E8	3.91358624E8	3.72420992E8	3.88176896E8	3.79782592E8	
sp|P31350|RIR2_HUMAN	P31350	RIR2_HUMAN	RRM2	389	Homo sapiens	1:Experimental evidence at protein level	Ribonucleoside-diphosphate reductase subunit M2	1.0	0.999	6	9	8	9	4	5	0	0	0	0	3	5	0	0	0	0	4	5	0	0	0	0	3.7579672E7	3.2775204E7	3.7757944E7	0.0	0.0	0.0	1.6433052E7	1.4833582E7	1.6657659E7	0.0	0.0	0.0	
sp|P31689|DNJA1_HUMAN	P31689	DNJA1_HUMAN	DNAJA1	397	Homo sapiens	1:Experimental evidence at protein level	DnaJ homolog subfamily A member 1	1.0	0.999	9	29	29	29	6	10	7	2	2	2	6	10	7	2	2	2	6	10	7	2	2	2	2.648992E8	2.6536152E8	3.14072992E8	1.32961672E8	1.25096008E8	1.52648352E8	8.6476224E7	8.636008E7	7.8312568E7	8.6084096E7	7.9349648E7	9.4927064E7	
sp|P31930|QCR1_HUMAN	P31930	QCR1_HUMAN	UQCRC1	480	Homo sapiens	1:Experimental evidence at protein level	Cytochrome b-c1 complex subunit 1, mitochondrial	1.0	0.999	17	74	68	74	18	22	14	7	7	6	17	21	13	6	6	5	18	22	14	7	7	6	7.3604883E8	7.5003597E8	7.1221901E8	4.45282528E8	4.35341984E8	4.41896064E8	1.12307544E8	1.12545664E8	1.08369528E8	1.02651256E8	9.8259048E7	1.09779832E8	
sp|P31937|3HIDH_HUMAN	P31937	3HIDH_HUMAN	HIBADH	336	Homo sapiens	1:Experimental evidence at protein level	3-hydroxyisobutyrate dehydrogenase, mitochondrial	1.0	0.999	4	5	5	5	2	2	1	0	0	0	2	2	1	0	0	0	2	2	1	0	0	0	2.9508552E7	2.5869454E7	4.7183116E7	0.0	0.0	0.0	1.853781E7	1.6082696E7	1.757987E7	0.0	0.0	0.0	
sp|P31939|PUR9_HUMAN	P31939	PUR9_HUMAN	ATIC	592	Homo sapiens	1:Experimental evidence at protein level	Bifunctional purine biosynthesis protein ATIC	1.0	0.999	28	119	119	119	34	36	31	7	5	6	34	36	31	7	5	6	34	36	31	7	5	6	1.25107546E9	1.22000602E9	1.2343383E9	3.5899808E8	2.7172144E8	3.8204304E8	1.06621216E8	9.3045168E7	9.9346216E7	1.0360732E8	9.1030448E7	9.905328E7	
sp|P31942|HNRH3_HUMAN	P31942	HNRH3_HUMAN	HNRNPH3	346	Homo sapiens	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein H3	1.0	0.999	10	47	47	55	11	11	10	5	6	4	11	11	10	5	6	4	13	13	11	6	7	5	6.4768883E8	7.235335E8	6.0692397E8	2.30149296E8	2.74688256E8	2.08187344E8	1.77390304E8	1.89997488E8	1.57181376E8	8.5138064E7	8.9421336E7	9.6510392E7	
sp|P31943|HNRH1_HUMAN	P31943	HNRH1_HUMAN	HNRNPH1	449	Homo sapiens	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein H	1.0	0.999	20	124	52	124	31	32	28	12	11	10	15	15	13	4	3	2	31	32	28	12	11	10	2.64808243E9	2.77258086E9	2.64801434E9	1.45122227E9	1.23566182E9	1.24555277E9	3.83888E8	3.92636768E8	3.7824048E8	3.08766176E8	2.88052896E8	2.81153856E8	
sp|P31946|1433B_HUMAN	P31946	1433B_HUMAN	YWHAB	246	Homo sapiens	1:Experimental evidence at protein level	14-3-3 protein beta/alpha	1.0	0.999	11	40	40	115	9	7	8	5	6	5	9	7	8	5	6	5	23	21	18	17	19	17	1.59717478E9	1.29948173E9	1.51842483E9	1.19864218E9	1.19642419E9	1.11155251E9	3.99135232E8	4.28833312E8	3.89032096E8	4.00981536E8	3.59382496E8	3.69273152E8	
sp|P31947|1433S_HUMAN	P31947	1433S_HUMAN	SFN	248	Homo sapiens	1:Experimental evidence at protein level	14-3-3 protein sigma	1.0	0.999	12	94	54	102	17	22	15	13	13	14	10	16	9	6	6	7	18	23	16	15	15	15	4.9773962E9	5.9623941E9	4.9714412E9	4.7879716E9	4.9388129E9	4.4097536E9	2.1157577E9	2.26522445E9	1.81520358E9	2.26321792E9	2.38141722E9	1.86377421E9	
sp|P31948|STIP1_HUMAN	P31948	STIP1_HUMAN	STIP1	543	Homo sapiens	1:Experimental evidence at protein level	Stress-induced-phosphoprotein 1	1.0	0.999	35	196	196	196	43	51	35	23	25	19	43	51	35	23	25	19	43	51	35	23	25	19	3.0244823E9	3.12605056E9	2.87799014E9	2.28763469E9	2.0231296E9	1.55694643E9	2.40336656E8	2.3459128E8	2.37837216E8	2.52458928E8	2.50378448E8	2.31526384E8	
sp|P31949|S10AB_HUMAN	P31949	S10AB_HUMAN	S100A11	105	Homo sapiens	1:Experimental evidence at protein level	Protein S100-A11	1.0	0.999	5	54	54	54	11	12	11	6	8	6	11	12	11	6	8	6	11	12	11	6	8	6	3.45926118E9	3.46598451E9	3.43252378E9	3.53367987E9	3.41440563E9	3.46649165E9	1.31197133E9	1.4344937E9	1.28302464E9	1.30506803E9	1.16436774E9	1.19586522E9	
sp|P32004|L1CAM_HUMAN	P32004	L1CAM_HUMAN	L1CAM	1257	Homo sapiens	1:Experimental evidence at protein level	Neural cell adhesion molecule L1	1.0	0.999	24	61	61	61	21	19	14	3	2	2	21	19	14	3	2	2	21	19	14	3	2	2	4.65098304E8	4.33571168E8	4.33676064E8	5.9589968E7	4.8373336E7	6.6387028E7	4.6559696E7	4.9154848E7	4.785146E7	3.876234E7	3.2234244E7	4.6081356E7	
sp|P32119|PRDX2_HUMAN	P32119	PRDX2_HUMAN	PRDX2	198	Homo sapiens	1:Experimental evidence at protein level	Peroxiredoxin-2	1.0	0.999	11	55	55	66	13	13	10	6	7	6	13	13	10	6	7	6	16	15	12	7	8	8	1.85761984E9	1.74046541E9	1.80320026E9	1.29602394E9	1.28518272E9	1.24046694E9	3.747216E8	3.571856E8	3.6741968E8	3.93788512E8	3.85181344E8	3.86883584E8	
sp|P32320|CDD_HUMAN	P32320	CDD_HUMAN	CDA	146	Homo sapiens	1:Experimental evidence at protein level	Cytidine deaminase	1.0	0.999	5	19	19	19	7	8	4	0	0	0	7	8	4	0	0	0	7	8	4	0	0	0	1.44281808E8	1.8184344E8	1.28166704E8	0.0	0.0	0.0	3.8623912E7	4.3816144E7	3.6659592E7	0.0	0.0	0.0	
sp|P32321|DCTD_HUMAN	P32321	DCTD_HUMAN	DCTD	178	Homo sapiens	1:Experimental evidence at protein level	Deoxycytidylate deaminase	1.0	0.9986	2	3	3	3	1	2	0	0	0	0	1	2	0	0	0	0	1	2	0	0	0	0	1.1343966E7	1.5232382E7	1.2348088E7	0.0	0.0	0.0	6062658.5	8161701.5	6573779.5	0.0	0.0	0.0	
sp|P32322|P5CR1_HUMAN	P32322	P5CR1_HUMAN	PYCR1	319	Homo sapiens	1:Experimental evidence at protein level	Pyrroline-5-carboxylate reductase 1, mitochondrial	1.0	0.999	9	25	16	25	8	9	5	1	1	1	6	7	3	0	0	0	8	9	5	1	1	1	1.75436256E8	1.79438288E8	1.78106992E8	3.6767776E7	3.7006004E7	4.3265852E7	4.709704E7	4.731458E7	4.595014E7	0.0	0.0	0.0	
sp|P32929|CGL_HUMAN	P32929	CGL_HUMAN	CTH	405	Homo sapiens	1:Experimental evidence at protein level	Cystathionine gamma-lyase	0.9907	0.9865	2	3	3	3	1	0	2	0	0	0	1	0	2	0	0	0	1	0	2	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P32969|RL9_HUMAN	P32969	RL9_HUMAN	RPL9	192	Homo sapiens	1:Experimental evidence at protein level	60S ribosomal protein L9	1.0	0.999	8	71	71	71	14	17	12	10	10	8	14	17	12	10	10	8	14	17	12	10	10	8	1.28796442E9	1.20447475E9	1.32573453E9	9.302416E8	9.7352646E8	1.00374266E9	3.44259488E8	3.2074896E8	3.76891136E8	2.31066208E8	2.36932656E8	2.48794096E8	
sp|P33176|KINH_HUMAN	P33176	KINH_HUMAN	KIF5B	963	Homo sapiens	1:Experimental evidence at protein level	Kinesin-1 heavy chain	1.0	0.999	28	63	45	63	19	29	13	0	1	1	15	19	9	0	1	1	19	29	13	0	1	1	3.26693248E8	3.56255488E8	3.35290912E8	0.0	5.2838368E7	2.9612254E7	3.2578698E7	3.1543046E7	2.9963076E7	0.0	4.0213916E7	0.0	
sp|P33240|CSTF2_HUMAN	P33240	CSTF2_HUMAN	CSTF2	577	Homo sapiens	1:Experimental evidence at protein level	Cleavage stimulation factor subunit 2	1.0	0.999	10	26	12	26	10	10	6	0	0	0	4	5	3	0	0	0	10	10	6	0	0	0	1.89977856E8	1.95261072E8	1.90668528E8	0.0	0.0	0.0	2.9063388E7	2.9294602E7	2.898656E7	0.0	0.0	0.0	
sp|P33316|DUT_HUMAN	P33316	DUT_HUMAN	DUT	252	Homo sapiens	1:Experimental evidence at protein level	Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial	1.0	0.999	10	49	49	49	11	13	9	7	5	4	11	13	9	7	5	4	11	13	9	7	5	4	6.4624486E8	6.9846349E8	6.2062112E8	3.78047936E8	3.3314272E8	2.70101664E8	1.16871456E8	1.21601016E8	1.15182888E8	1.11872272E8	1.25622264E8	1.06613096E8	
sp|P33527|MRP1_HUMAN	P33527	MRP1_HUMAN	ABCC1	1531	Homo sapiens	1:Experimental evidence at protein level	Multidrug resistance-associated protein 1	0.726	0.983	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	6890484.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P33897|ABCD1_HUMAN	P33897	ABCD1_HUMAN	ABCD1	745	Homo sapiens	1:Experimental evidence at protein level	ATP-binding cassette sub-family D member 1	1.0	0.999	3	6	6	6	2	3	1	0	0	0	2	3	1	0	0	0	2	3	1	0	0	0	4.3090172E7	3.944052E7	3.5945536E7	0.0	0.0	0.0	2.5049366E7	2.2936676E7	2.4868288E7	0.0	0.0	0.0	
sp|P33991|MCM4_HUMAN	P33991	MCM4_HUMAN	MCM4	863	Homo sapiens	1:Experimental evidence at protein level	DNA replication licensing factor MCM4	1.0	0.999	32	100	98	100	30	27	23	7	6	7	29	26	23	7	6	7	30	27	23	7	6	7	7.6616141E8	8.3586298E8	8.0032096E8	3.48050208E8	3.46432704E8	4.14423552E8	7.952368E7	8.0865864E7	8.2139152E7	7.868724E7	7.8186848E7	8.5120408E7	
sp|P33992|MCM5_HUMAN	P33992	MCM5_HUMAN	MCM5	734	Homo sapiens	1:Experimental evidence at protein level	DNA replication licensing factor MCM5	1.0	0.999	30	83	83	83	26	29	20	5	2	1	26	29	20	5	2	1	26	29	20	5	2	1	1.41329037E9	1.32740749E9	1.30577357E9	7.4586176E8	6.7856378E8	6.3135898E8	5.7392186E8	5.7137062E8	5.8234362E8	5.27842464E8	5.8809555E8	0.0	
sp|P33993|MCM7_HUMAN	P33993	MCM7_HUMAN	MCM7	719	Homo sapiens	1:Experimental evidence at protein level	DNA replication licensing factor MCM7	1.0	0.999	23	74	74	74	22	23	17	4	3	5	22	23	17	4	3	5	22	23	17	4	3	5	6.6198669E8	6.8278112E8	6.2299584E8	1.96177664E8	1.41015248E8	1.85821152E8	6.6994404E7	6.7360848E7	6.4311196E7	6.7524808E7	6.797E7	6.396838E7	
sp|P34896|GLYC_HUMAN	P34896	GLYC_HUMAN	SHMT1	483	Homo sapiens	1:Experimental evidence at protein level	Serine hydroxymethyltransferase, cytosolic	1.0	0.999	10	17	17	20	4	9	3	1	0	0	4	9	3	1	0	0	5	10	4	1	0	0	3.39191872E8	2.72618464E8	2.16680336E8	1.12969864E8	0.0	0.0	1.5051328E8	1.4031472E8	1.34562976E8	0.0	0.0	0.0	
sp|P34897|GLYM_HUMAN	P34897	GLYM_HUMAN	SHMT2	504	Homo sapiens	1:Experimental evidence at protein level	Serine hydroxymethyltransferase, mitochondrial	1.0	0.999	22	125	122	125	31	31	24	13	14	12	30	30	23	13	14	12	31	31	24	13	14	12	2.47696205E9	2.41481421E9	2.2398825E9	1.75931174E9	1.95728858E9	1.53641011E9	2.38404512E8	2.25405728E8	2.29054256E8	2.51255136E8	2.54997008E8	2.5711976E8	
