Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	10ngQCHeLa_75umC8_0min_1x_01 Spectral Count	10ngQCHeLa_75umC8_0min_1x_02 Spectral Count	10ngQCHeLa_75umC8_0min_1x_03 Spectral Count	200pgQCHeLa_75umC8_0min_1x_00 Spectral Count	200pgQCHeLa_75umC8_0min_1x_01 Spectral Count	200pgQCHeLa_75umC8_0min_1x_02 Spectral Count	200pgQCHeLa_75umC8_0min_1x_03 Spectral Count	20ngQCHeLa_75umC8_0min_1x_01 Spectral Count	20ngQCHeLa_75umC8_0min_1x_02 Spectral Count	20ngQCHeLa_75umC8_0min_1x_03 Spectral Count	2ngQCHeLa_75umC8_0min_1x_01 Spectral Count	2ngQCHeLa_75umC8_0min_1x_02 Spectral Count	2ngQCHeLa_75umC8_0min_1x_03 Spectral Count	Blank_75umC8_0min_1x_01 Spectral Count	Blank_75umC8_0min_1x_02 Spectral Count	Blank_75umC8_0min_1x_03 Spectral Count	10ngQCHeLa_75umC8_0min_1x_01 Unique Spectral Count	10ngQCHeLa_75umC8_0min_1x_02 Unique Spectral Count	10ngQCHeLa_75umC8_0min_1x_03 Unique Spectral Count	200pgQCHeLa_75umC8_0min_1x_00 Unique Spectral Count	200pgQCHeLa_75umC8_0min_1x_01 Unique Spectral Count	200pgQCHeLa_75umC8_0min_1x_02 Unique Spectral Count	200pgQCHeLa_75umC8_0min_1x_03 Unique Spectral Count	20ngQCHeLa_75umC8_0min_1x_01 Unique Spectral Count	20ngQCHeLa_75umC8_0min_1x_02 Unique Spectral Count	20ngQCHeLa_75umC8_0min_1x_03 Unique Spectral Count	2ngQCHeLa_75umC8_0min_1x_01 Unique Spectral Count	2ngQCHeLa_75umC8_0min_1x_02 Unique Spectral Count	2ngQCHeLa_75umC8_0min_1x_03 Unique Spectral Count	Blank_75umC8_0min_1x_01 Unique Spectral Count	Blank_75umC8_0min_1x_02 Unique Spectral Count	Blank_75umC8_0min_1x_03 Unique Spectral Count	10ngQCHeLa_75umC8_0min_1x_01 Total Spectral Count	10ngQCHeLa_75umC8_0min_1x_02 Total Spectral Count	10ngQCHeLa_75umC8_0min_1x_03 Total Spectral Count	200pgQCHeLa_75umC8_0min_1x_00 Total Spectral Count	200pgQCHeLa_75umC8_0min_1x_01 Total Spectral Count	200pgQCHeLa_75umC8_0min_1x_02 Total Spectral Count	200pgQCHeLa_75umC8_0min_1x_03 Total Spectral Count	20ngQCHeLa_75umC8_0min_1x_01 Total Spectral Count	20ngQCHeLa_75umC8_0min_1x_02 Total Spectral Count	20ngQCHeLa_75umC8_0min_1x_03 Total Spectral Count	2ngQCHeLa_75umC8_0min_1x_01 Total Spectral Count	2ngQCHeLa_75umC8_0min_1x_02 Total Spectral Count	2ngQCHeLa_75umC8_0min_1x_03 Total Spectral Count	Blank_75umC8_0min_1x_01 Total Spectral Count	Blank_75umC8_0min_1x_02 Total Spectral Count	Blank_75umC8_0min_1x_03 Total Spectral Count	10ngQCHeLa_75umC8_0min_1x_01 Intensity	10ngQCHeLa_75umC8_0min_1x_02 Intensity	10ngQCHeLa_75umC8_0min_1x_03 Intensity	200pgQCHeLa_75umC8_0min_1x_00 Intensity	200pgQCHeLa_75umC8_0min_1x_01 Intensity	200pgQCHeLa_75umC8_0min_1x_02 Intensity	200pgQCHeLa_75umC8_0min_1x_03 Intensity	20ngQCHeLa_75umC8_0min_1x_01 Intensity	20ngQCHeLa_75umC8_0min_1x_02 Intensity	20ngQCHeLa_75umC8_0min_1x_03 Intensity	2ngQCHeLa_75umC8_0min_1x_01 Intensity	2ngQCHeLa_75umC8_0min_1x_02 Intensity	2ngQCHeLa_75umC8_0min_1x_03 Intensity	Blank_75umC8_0min_1x_01 Intensity	Blank_75umC8_0min_1x_02 Intensity	Blank_75umC8_0min_1x_03 Intensity	10ngQCHeLa_75umC8_0min_1x_01 MaxLFQ Intensity	10ngQCHeLa_75umC8_0min_1x_02 MaxLFQ Intensity	10ngQCHeLa_75umC8_0min_1x_03 MaxLFQ Intensity	200pgQCHeLa_75umC8_0min_1x_00 MaxLFQ Intensity	200pgQCHeLa_75umC8_0min_1x_01 MaxLFQ Intensity	200pgQCHeLa_75umC8_0min_1x_02 MaxLFQ Intensity	200pgQCHeLa_75umC8_0min_1x_03 MaxLFQ Intensity	20ngQCHeLa_75umC8_0min_1x_01 MaxLFQ Intensity	20ngQCHeLa_75umC8_0min_1x_02 MaxLFQ Intensity	20ngQCHeLa_75umC8_0min_1x_03 MaxLFQ Intensity	2ngQCHeLa_75umC8_0min_1x_01 MaxLFQ Intensity	2ngQCHeLa_75umC8_0min_1x_02 MaxLFQ Intensity	2ngQCHeLa_75umC8_0min_1x_03 MaxLFQ Intensity	Blank_75umC8_0min_1x_01 MaxLFQ Intensity	Blank_75umC8_0min_1x_02 MaxLFQ Intensity	Blank_75umC8_0min_1x_03 MaxLFQ Intensity	Indistinguishable Proteins
sp|O75874|IDHC_HUMAN	O75874	IDHC_HUMAN	IDH1	414	Homo sapiens	1:Experimental evidence at protein level	Isocitrate dehydrogenase [NADP] cytoplasmic	1.0	0.999	15	74	67	74	6	8	8	0	1	1	1	9	7	12	9	6	6	0	0	0	5	7	7	0	1	1	1	8	6	11	8	6	6	0	0	0	6	8	8	0	1	1	1	9	7	12	9	6	6	0	0	0	1.49326608E8	1.40470432E8	1.58014192E8	1.0395723E7	5.251054E7	2.8437192E7	3.7602892E7	1.64913296E8	1.6911832E8	1.68662816E8	1.13222304E8	1.18641128E8	9.9842376E7	0.0	0.0	0.0	2.0863946E7	2.0144578E7	2.2338902E7	0.0	1.8463164E7	2.1774266E7	1.9899212E7	2.2389196E7	2.1564898E7	2.1614246E7	2.183096E7	2.1696574E7	1.9099392E7	0.0	0.0	0.0	
sp|O75915|PRAF3_HUMAN	O75915	PRAF3_HUMAN	ARL6IP5	188	Homo sapiens	1:Experimental evidence at protein level	PRA1 family protein 3	1.0	0.999	4	17	17	17	2	3	3	0	0	0	0	1	2	3	0	2	1	0	0	0	2	3	3	0	0	0	0	1	2	3	0	2	1	0	0	0	2	3	3	0	0	0	0	1	2	3	0	2	1	0	0	0	1.2506436E7	1.66805E7	1.9151252E7	0.0	0.0	0.0	0.0	2.5631548E7	2.3573856E7	2.5500128E7	4669051.0	2536279.0	4456790.0	0.0	0.0	0.0	5737983.5	4829707.0	5744509.0	0.0	0.0	0.0	0.0	7225206.0	6580095.0	7093860.5	4413600.0	0.0	4147503.5	0.0	0.0	0.0	
sp|O75934|SPF27_HUMAN	O75934	SPF27_HUMAN	BCAS2	225	Homo sapiens	1:Experimental evidence at protein level	Pre-mRNA-splicing factor SPF27	1.0	0.999	6	21	21	21	1	2	1	0	0	0	0	5	4	5	1	1	1	0	0	0	1	2	1	0	0	0	0	5	4	5	1	1	1	0	0	0	1	2	1	0	0	0	0	5	4	5	1	1	1	0	0	0	1.4158062E7	1.859066E7	2.1515334E7	0.0	0.0	0.0	1.0666296E7	3.0319346E7	2.6746028E7	3.0126636E7	9541242.0	1.0104967E7	1.0321442E7	0.0	0.0	0.0	9146072.0	7136515.5	9382815.0	0.0	0.0	0.0	0.0	1.2259492E7	1.1002461E7	1.2375592E7	0.0	6698984.5	0.0	0.0	0.0	0.0	
sp|O75935|DCTN3_HUMAN	O75935	DCTN3_HUMAN	DCTN3	186	Homo sapiens	1:Experimental evidence at protein level	Dynactin subunit 3	0.7348	0.9878	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1570943.8	1659750.4	1321500.5	0.0	0.0	0.0	0.0	1650455.8	1941558.4	0.0	2459676.8	0.0	2939192.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O75937|DNJC8_HUMAN	O75937	DNJC8_HUMAN	DNAJC8	253	Homo sapiens	1:Experimental evidence at protein level	DnaJ homolog subfamily C member 8	1.0	0.999	5	23	23	23	3	3	1	0	0	0	0	4	3	3	2	1	3	0	0	0	3	3	1	0	0	0	0	4	3	3	2	1	3	0	0	0	3	3	1	0	0	0	0	4	3	3	2	1	3	0	0	0	2.822454E7	2.4556248E7	2.6421728E7	0.0	0.0	0.0	0.0	2.6690548E7	2.4862154E7	2.6985128E7	2.7139946E7	2.8312942E7	2.6811256E7	0.0	0.0	0.0	1.2760965E7	1.0464045E7	1.1245555E7	0.0	0.0	0.0	0.0	1.0203533E7	1.0339064E7	1.0018154E7	1.2153598E7	1.220825E7	1.3442019E7	0.0	0.0	0.0	
sp|O75940|SPF30_HUMAN	O75940	SPF30_HUMAN	SMNDC1	238	Homo sapiens	1:Experimental evidence at protein level	Survival of motor neuron-related-splicing factor 30	0.9999	0.9987	2	7	7	7	1	0	1	0	0	0	0	2	1	2	0	0	0	0	0	0	1	0	1	0	0	0	0	2	1	2	0	0	0	0	0	0	1	0	1	0	0	0	0	2	1	2	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3862880.0	3656805.2	4043958.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O75947|ATP5H_HUMAN	O75947	ATP5H_HUMAN	ATP5PD	161	Homo sapiens	1:Experimental evidence at protein level	ATP synthase subunit d, mitochondrial	1.0	0.999	7	51	51	51	4	7	4	0	1	0	1	7	7	8	5	4	3	0	0	0	4	7	4	0	1	0	1	7	7	8	5	4	3	0	0	0	4	7	4	0	1	0	1	7	7	8	5	4	3	0	0	0	1.02874768E8	1.03757512E8	1.06561072E8	2.789858E7	3.4318836E7	3.5689768E7	2.856504E7	1.27526312E8	1.22928808E8	1.2628564E8	7.7253432E7	8.0149256E7	6.4788236E7	0.0	0.0	0.0	3.021077E7	2.715749E7	3.2108202E7	0.0	0.0	3.6120236E7	0.0	3.605196E7	3.5853104E7	3.504748E7	3.0708494E7	2.637512E7	2.2400788E7	0.0	0.0	0.0	
sp|O75955|FLOT1_HUMAN	O75955	FLOT1_HUMAN	FLOT1	427	Homo sapiens	1:Experimental evidence at protein level	Flotillin-1	1.0	0.999	13	69	69	69	6	13	6	0	1	0	0	11	9	11	6	2	4	0	0	0	6	13	6	0	1	0	0	11	9	11	6	2	4	0	0	0	6	13	6	0	1	0	0	11	9	11	6	2	4	0	0	0	6.1909772E7	7.221428E7	6.512678E7	0.0	0.0	0.0	1.0933024E7	6.706058E7	6.3095516E7	6.3818512E7	5.8241812E7	5.7985012E7	6.496618E7	0.0	0.0	0.0	1.1657001E7	1.20652E7	1.2069238E7	0.0	0.0	0.0	0.0	1.2573095E7	1.1780886E7	1.2151322E7	1.3376673E7	1.2999464E7	1.3416712E7	0.0	0.0	0.0	
sp|O75964|ATP5L_HUMAN	O75964	ATP5L_HUMAN	ATP5MG	103	Homo sapiens	1:Experimental evidence at protein level	ATP synthase subunit g, mitochondrial	1.0	0.999	4	47	47	47	4	6	4	0	1	2	0	5	6	5	4	5	5	0	0	0	4	6	4	0	1	2	0	5	6	5	4	5	5	0	0	0	4	6	4	0	1	2	0	5	6	5	4	5	5	0	0	0	1.05567632E8	1.04448688E8	1.080226E8	0.0	3.7110064E7	1.2750486E7	1.3700773E7	1.08390736E8	1.0505128E8	1.0272996E8	1.07219112E8	1.03591176E8	1.03979744E8	0.0	0.0	0.0	5.1201188E7	4.8875372E7	5.3404728E7	0.0	0.0	0.0	0.0	5.1256964E7	4.7776168E7	4.8061696E7	5.6994144E7	5.4403308E7	5.5776444E7	0.0	0.0	0.0	
sp|O76003|GLRX3_HUMAN	O76003	GLRX3_HUMAN	GLRX3	335	Homo sapiens	1:Experimental evidence at protein level	Glutaredoxin-3	1.0	0.999	10	63	63	63	6	8	7	0	0	0	2	7	6	8	6	7	6	0	0	0	6	8	7	0	0	0	2	7	6	8	6	7	6	0	0	0	6	8	7	0	0	0	2	7	6	8	6	7	6	0	0	0	1.09848968E8	1.05665016E8	1.05070976E8	0.0	1.3637218E7	1.3700999E7	2.2410222E7	1.01824584E8	9.6266088E7	1.01307296E8	1.0240104E8	8.9361408E7	9.9975272E7	0.0	0.0	0.0	2.1166968E7	2.0487804E7	2.0903052E7	0.0	0.0	0.0	0.0	1.8629258E7	1.8389308E7	1.8898534E7	2.1848922E7	1.9878216E7	2.1701224E7	0.0	0.0	0.0	
sp|O76021|RL1D1_HUMAN	O76021	RL1D1_HUMAN	RSL1D1	490	Homo sapiens	1:Experimental evidence at protein level	Ribosomal L1 domain-containing protein 1	1.0	0.999	10	91	91	91	9	9	6	2	4	3	3	8	9	11	10	7	10	0	0	0	9	9	6	2	4	3	3	8	9	11	10	7	10	0	0	0	9	9	6	2	4	3	3	8	9	11	10	7	10	0	0	0	1.9477768E8	1.869728E8	2.05154592E8	7.0476608E7	1.70589952E8	1.13223728E8	1.07262112E8	2.02976928E8	2.02800048E8	2.03359808E8	1.97849216E8	1.94202032E8	1.85266192E8	0.0	0.0	0.0	4.6418244E7	4.3078268E7	4.9089644E7	5.8172308E7	4.9451276E7	4.676768E7	4.6514652E7	4.381586E7	4.3524692E7	4.2587448E7	5.0174916E7	5.1262772E7	4.7665852E7	0.0	0.0	0.0	
sp|O76031|CLPX_HUMAN	O76031	CLPX_HUMAN	CLPX	633	Homo sapiens	1:Experimental evidence at protein level	ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial	1.0	0.999	5	13	13	13	1	5	0	0	0	0	0	3	1	3	0	0	0	0	0	0	1	5	0	0	0	0	0	3	1	3	0	0	0	0	0	0	1	5	0	0	0	0	0	3	1	3	0	0	0	0	0	0	1.677678E7	1.7085436E7	1.831767E7	0.0	0.0	0.0	0.0	1.933405E7	1.860361E7	1.9186762E7	9410092.0	1.1250124E7	1.3175205E7	0.0	0.0	0.0	4773679.0	5037501.0	5318640.0	0.0	0.0	0.0	0.0	5418410.0	5338482.5	5225405.0	5749397.5	4051521.5	5499885.0	0.0	0.0	0.0	
sp|O76071|CIAO1_HUMAN	O76071	CIAO1_HUMAN	CIAO1	339	Homo sapiens	1:Experimental evidence at protein level	Probable cytosolic iron-sulfur protein assembly protein CIAO1	1.0	0.999	3	9	9	9	1	1	1	0	0	0	0	3	1	2	0	0	0	0	0	0	1	1	1	0	0	0	0	3	1	2	0	0	0	0	0	0	1	1	1	0	0	0	0	3	1	2	0	0	0	0	0	0	1.314669E7	1.2585177E7	1.2529135E7	0.0	0.0	0.0	0.0	1.4182356E7	1.3874713E7	1.3796E7	1.1767344E7	1.2159083E7	1.0951118E7	0.0	0.0	0.0	8678681.0	7851425.0	8164675.0	0.0	0.0	0.0	0.0	8890675.0	8540073.0	8574776.0	7219116.5	7729608.5	8836295.0	0.0	0.0	0.0	
sp|O76094|SRP72_HUMAN	O76094	SRP72_HUMAN	SRP72	671	Homo sapiens	1:Experimental evidence at protein level	Signal recognition particle subunit SRP72	1.0	0.999	10	41	41	41	5	4	4	0	0	0	0	7	8	8	1	1	3	0	0	0	5	4	4	0	0	0	0	7	8	8	1	1	3	0	0	0	5	4	4	0	0	0	0	7	8	8	1	1	3	0	0	0	1.76240928E8	5.1741276E7	1.4446648E8	0.0	4678580.0	0.0	3574761.5	3.858114E7	1.17906688E8	1.04597632E8	3.3802656E7	3.2712356E7	1.95927312E8	0.0	0.0	0.0	3.7114444E7	3.7816452E7	3.6967888E7	0.0	0.0	0.0	0.0	3.5219868E7	3.6534872E7	3.6544516E7	3.354339E7	3.260938E7	3.5500788E7	0.0	0.0	0.0	
sp|O94776|MTA2_HUMAN	O94776	MTA2_HUMAN	MTA2	668	Homo sapiens	1:Experimental evidence at protein level	Metastasis-associated protein MTA2	1.0	0.9989	11	33	25	33	2	5	2	0	0	0	0	5	7	6	3	1	2	0	0	0	1	4	1	0	0	0	0	4	6	5	2	1	1	0	0	0	2	5	2	0	0	0	0	5	7	6	3	1	2	0	0	0	4.0401844E7	4.0692668E7	4.4239008E7	0.0	0.0	0.0	1.3915068E7	3.6036076E7	3.840638E7	5.2508256E7	3.3668948E7	3.9878412E7	2.5616008E7	0.0	0.0	0.0	8502856.0	7718306.5	7891768.0	0.0	0.0	0.0	7712461.5	7326421.0	7319094.0	7087330.5	1.0417678E7	1.0196011E7	9141458.0	0.0	0.0	0.0	
sp|O94826|TOM70_HUMAN	O94826	TOM70_HUMAN	TOMM70	608	Homo sapiens	1:Experimental evidence at protein level	Mitochondrial import receptor subunit TOM70	1.0	0.999	15	75	75	75	8	11	6	0	0	0	0	11	13	14	5	2	5	0	0	0	8	11	6	0	0	0	0	11	13	14	5	2	5	0	0	0	8	11	6	0	0	0	0	11	13	14	5	2	5	0	0	0	8.2422848E7	7.5541224E7	7.1425224E7	0.0	7710690.5	0.0	2866061.8	8.8902784E7	9.3838888E7	9.9693008E7	6.2766484E7	5.589028E7	5.29436E7	0.0	0.0	0.0	1.2012923E7	1.1483768E7	1.1554235E7	0.0	8693185.0	0.0	0.0	1.2111477E7	1.2293047E7	1.2086168E7	1.2499404E7	1.162641E7	1.1371205E7	0.0	0.0	0.0	
sp|O94874|UFL1_HUMAN	O94874	UFL1_HUMAN	UFL1	794	Homo sapiens	1:Experimental evidence at protein level	E3 UFM1-protein ligase 1	1.0	0.9985	7	19	19	19	1	3	1	0	0	0	0	3	3	5	1	1	1	0	0	0	1	3	1	0	0	0	0	3	3	5	1	1	1	0	0	0	1	3	1	0	0	0	0	3	3	5	1	1	1	0	0	0	1.0382435E7	3.2597836E7	1.006079E7	0.0	0.0	0.0	0.0	1.197073E7	8510361.0	1.1311388E7	5155096.0	6181954.5	6641752.0	0.0	0.0	0.0	4262895.0	4124808.8	4150425.5	0.0	0.0	0.0	0.0	4289991.0	3873510.8	3962244.5	4209570.0	5030287.5	5014251.0	0.0	0.0	0.0	
sp|O94888|UBXN7_HUMAN	O94888	UBXN7_HUMAN	UBXN7	489	Homo sapiens	1:Experimental evidence at protein level	UBX domain-containing protein 7	1.0	0.9987	4	11	11	11	1	2	1	0	0	0	0	2	2	3	0	0	0	0	0	0	1	2	1	0	0	0	0	2	2	3	0	0	0	0	0	0	1	2	1	0	0	0	0	2	2	3	0	0	0	0	0	0	1.2916832E7	1.4201638E7	1.8137826E7	0.0	0.0	0.0	0.0	1.8893392E7	2.0876236E7	1.8531652E7	1.2227742E7	1.5043414E7	4344095.5	0.0	0.0	0.0	7049479.5	7843186.5	7509190.0	0.0	0.0	0.0	0.0	8034489.0	7683375.0	7753830.5	8490767.0	6984046.5	0.0	0.0	0.0	0.0	
sp|O94903|PLPHP_HUMAN	O94903	PLPHP_HUMAN	PLPBP	275	Homo sapiens	1:Experimental evidence at protein level	Pyridoxal phosphate homeostasis protein	1.0	0.9944	4	4	4	4	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	4830477.0	1.0118886E7	1.0695914E7	0.0	0.0	0.0	0.0	1.0653569E7	1.114323E7	8836304.0	6192360.0	8953814.0	2530728.8	0.0	0.0	0.0	3347303.0	3254851.2	3777086.0	0.0	0.0	0.0	0.0	3751518.5	3940394.2	4067420.0	3900680.2	4329716.0	0.0	0.0	0.0	0.0	
sp|O94905|ERLN2_HUMAN	O94905	ERLN2_HUMAN	ERLIN2	339	Homo sapiens	1:Experimental evidence at protein level	Erlin-2	1.0	0.999	13	58	37	58	3	7	5	0	1	0	0	10	9	10	5	4	4	0	0	0	2	6	2	0	0	0	0	7	6	7	3	2	2	0	0	0	3	7	5	0	1	0	0	10	9	10	5	4	4	0	0	0	7.2965616E7	6.240942E7	7.4822752E7	0.0	2.5303204E7	7376559.0	2.1080736E7	7.6553784E7	6.334298E7	7.5543272E7	5.986724E7	6.203566E7	6.3085536E7	0.0	0.0	0.0	1.8328284E7	1.6773137E7	1.889912E7	0.0	1.6197157E7	0.0	1.3432153E7	1.8527822E7	1.7467796E7	1.8628108E7	2.0977928E7	1.871593E7	2.0151796E7	0.0	0.0	0.0	
sp|O94906|PRP6_HUMAN	O94906	PRP6_HUMAN	PRPF6	941	Homo sapiens	1:Experimental evidence at protein level	Pre-mRNA-processing factor 6	1.0	0.999	12	37	37	37	2	4	3	0	0	0	0	8	6	10	2	1	1	0	0	0	2	4	3	0	0	0	0	8	6	10	2	1	1	0	0	0	2	4	3	0	0	0	0	8	6	10	2	1	1	0	0	0	4.8105744E7	3.0028852E7	4.0729332E7	0.0	0.0	0.0	0.0	4.4411968E7	4.4274888E7	4.247136E7	3.6340616E7	2.3578076E7	3.0646762E7	0.0	0.0	0.0	7856561.5	7214244.0	8371979.5	0.0	0.0	0.0	0.0	8228930.5	7990889.0	7746764.5	8100013.5	7470070.0	8213035.5	0.0	0.0	0.0	
sp|O94925|GLSK_HUMAN	O94925	GLSK_HUMAN	GLS	669	Homo sapiens	1:Experimental evidence at protein level	Glutaminase kidney isoform, mitochondrial	1.0	0.999	2	6	6	6	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0.0	1.4476266E7	1857448.5	0.0	1.7629178E7	0.0	0.0	1.3076933E7	1.1421624E7	1.2611255E7	0.0	2818660.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8483489.0	7715021.5	8598191.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O94973|AP2A2_HUMAN	O94973	AP2A2_HUMAN	AP2A2	939	Homo sapiens	1:Experimental evidence at protein level	AP-2 complex subunit alpha-2	1.0	0.9982	7	3	3	19	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	4	2	0	0	0	0	3	4	2	1	1	0	0	0	0	2965665.2	4443608.5	3084749.2	0.0	0.0	0.0	0.0	4649895.0	1239667.4	1370799.8	0.0	1220401.5	2862100.2	0.0	0.0	0.0	1799810.8	1797303.5	2863242.8	0.0	0.0	0.0	0.0	2251039.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O94979|SC31A_HUMAN	O94979	SC31A_HUMAN	SEC31A	1220	Homo sapiens	1:Experimental evidence at protein level	Protein transport protein Sec31A	1.0	0.999	12	46	46	46	5	5	3	0	0	0	0	9	10	7	2	2	3	0	0	0	5	5	3	0	0	0	0	9	10	7	2	2	3	0	0	0	5	5	3	0	0	0	0	9	10	7	2	2	3	0	0	0	5.5312084E7	5.5959408E7	6.1673796E7	0.0	0.0	0.0	0.0	6.1667788E7	5.8355384E7	5.6114152E7	5.545532E7	6.0473256E7	6.039176E7	0.0	0.0	0.0	9542445.0	9428331.0	1.0214745E7	0.0	0.0	0.0	0.0	9457761.0	9989121.0	8901687.0	9303740.0	1.0546855E7	1.0474904E7	0.0	0.0	0.0	
sp|O94992|HEXI1_HUMAN	O94992	HEXI1_HUMAN	HEXIM1	359	Homo sapiens	1:Experimental evidence at protein level	Protein HEXIM1	1.0	0.999	7	32	31	32	2	6	1	0	1	0	0	6	5	7	1	1	2	0	0	0	2	6	1	0	1	0	0	6	5	6	1	1	2	0	0	0	2	6	1	0	1	0	0	6	5	7	1	1	2	0	0	0	4.753578E7	3.9535556E7	4.7407612E7	0.0	1.4771199E7	1.0733792E7	1.4596894E7	5.3704512E7	4.8899892E7	5.1919696E7	3.249825E7	3.030094E7	3.078383E7	0.0	0.0	0.0	1.6787072E7	1.5489986E7	1.640038E7	0.0	0.0	0.0	0.0	1.6925858E7	1.6759174E7	1.6626757E7	1.4099752E7	1.4627419E7	1.3786822E7	0.0	0.0	0.0	
sp|O95070|YIF1A_HUMAN	O95070	YIF1A_HUMAN	YIF1A	293	Homo sapiens	1:Experimental evidence at protein level	Protein YIF1A	0.9984	0.9983	2	5	5	5	1	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	5927873.0	0.0	3725561.8	0.0	0.0	0.0	0.0	7558332.0	8130558.0	7524000.0	0.0	2608119.2	0.0	0.0	0.0	0.0	3133673.2	0.0	0.0	0.0	0.0	0.0	0.0	4191750.2	4504981.5	4176065.2	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O95071|UBR5_HUMAN	O95071	UBR5_HUMAN	UBR5	2799	Homo sapiens	1:Experimental evidence at protein level	E3 ubiquitin-protein ligase UBR5	0.9099	0.9966	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O95104|SCAF4_HUMAN	O95104	SCAF4_HUMAN	SCAF4	1147	Homo sapiens	1:Experimental evidence at protein level	SR-related and CTD-associated factor 4	0.9601	0.9986	1	2	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2939300.8	3376674.0	2594973.0	0.0	0.0	0.0	0.0	2966043.2	3786624.2	3750072.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|Q9UPN6|SCAF8_HUMAN
sp|O95155|UBE4B_HUMAN	O95155	UBE4B_HUMAN	UBE4B	1302	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin conjugation factor E4 B	0.9994	0.9965	2	4	4	4	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	2557446.5	2470829.0	4249115.0	0.0	0.0	0.0	0.0	4870352.0	5226765.5	4958587.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2567842.0	2758837.0	2606434.5	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O95159|ZFPL1_HUMAN	O95159	ZFPL1_HUMAN	ZFPL1	310	Homo sapiens	1:Experimental evidence at protein level	Zinc finger protein-like 1	0.9256	0.9973	1	2	2	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0.0	0.0	1782765.1	0.0	0.0	0.0	0.0	1555204.8	1768611.2	1494996.1	0.0	0.0	1284121.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
