Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	10ngQCHeLa_ColTT1_ForwardFlush_01 Spectral Count	10ngQCHeLa_ColTT1_ForwardFlush_02 Spectral Count	10ngQCHeLa_ColTT1_ForwardFlush_03 Spectral Count	200pgQCHeLa_ColTT1_ForwardFlush_00 Spectral Count	200pgQCHeLa_ColTT1_ForwardFlush_01 Spectral Count	200pgQCHeLa_ColTT1_ForwardFlush_02 Spectral Count	200pgQCHeLa_ColTT1_ForwardFlush_03 Spectral Count	10ngQCHeLa_ColTT1_ForwardFlush_01 Unique Spectral Count	10ngQCHeLa_ColTT1_ForwardFlush_02 Unique Spectral Count	10ngQCHeLa_ColTT1_ForwardFlush_03 Unique Spectral Count	200pgQCHeLa_ColTT1_ForwardFlush_00 Unique Spectral Count	200pgQCHeLa_ColTT1_ForwardFlush_01 Unique Spectral Count	200pgQCHeLa_ColTT1_ForwardFlush_02 Unique Spectral Count	200pgQCHeLa_ColTT1_ForwardFlush_03 Unique Spectral Count	10ngQCHeLa_ColTT1_ForwardFlush_01 Total Spectral Count	10ngQCHeLa_ColTT1_ForwardFlush_02 Total Spectral Count	10ngQCHeLa_ColTT1_ForwardFlush_03 Total Spectral Count	200pgQCHeLa_ColTT1_ForwardFlush_00 Total Spectral Count	200pgQCHeLa_ColTT1_ForwardFlush_01 Total Spectral Count	200pgQCHeLa_ColTT1_ForwardFlush_02 Total Spectral Count	200pgQCHeLa_ColTT1_ForwardFlush_03 Total Spectral Count	10ngQCHeLa_ColTT1_ForwardFlush_01 Intensity	10ngQCHeLa_ColTT1_ForwardFlush_02 Intensity	10ngQCHeLa_ColTT1_ForwardFlush_03 Intensity	200pgQCHeLa_ColTT1_ForwardFlush_00 Intensity	200pgQCHeLa_ColTT1_ForwardFlush_01 Intensity	200pgQCHeLa_ColTT1_ForwardFlush_02 Intensity	200pgQCHeLa_ColTT1_ForwardFlush_03 Intensity	10ngQCHeLa_ColTT1_ForwardFlush_01 MaxLFQ Intensity	10ngQCHeLa_ColTT1_ForwardFlush_02 MaxLFQ Intensity	10ngQCHeLa_ColTT1_ForwardFlush_03 MaxLFQ Intensity	200pgQCHeLa_ColTT1_ForwardFlush_00 MaxLFQ Intensity	200pgQCHeLa_ColTT1_ForwardFlush_01 MaxLFQ Intensity	200pgQCHeLa_ColTT1_ForwardFlush_02 MaxLFQ Intensity	200pgQCHeLa_ColTT1_ForwardFlush_03 MaxLFQ Intensity	Indistinguishable Proteins
sp|O95299|NDUAA_HUMAN	O95299	NDUAA_HUMAN	NDUFA10	355	Homo sapiens	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial	1.0	0.9986	2	3	3	3	2	0	1	0	0	0	0	2	0	1	0	0	0	0	2	0	1	0	0	0	0	4841840.0	3679322.5	3684009.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O95336|6PGL_HUMAN	O95336	6PGL_HUMAN	PGLS	258	Homo sapiens	1:Experimental evidence at protein level	6-phosphogluconolactonase	1.0	0.9989	7	22	22	22	8	8	6	0	0	0	0	8	8	6	0	0	0	0	8	8	6	0	0	0	0	5.9987512E7	5.3331176E7	5.6877612E7	0.0	0.0	2.250764E7	1.7633852E7	2.493979E7	2.5951584E7	2.3643842E7	0.0	0.0	0.0	0.0	
sp|O95347|SMC2_HUMAN	O95347	SMC2_HUMAN	SMC2	1197	Homo sapiens	1:Experimental evidence at protein level	Structural maintenance of chromosomes protein 2	0.9996	0.9915	2	2	2	2	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O95373|IPO7_HUMAN	O95373	IPO7_HUMAN	IPO7	1038	Homo sapiens	1:Experimental evidence at protein level	Importin-7	1.0	0.9987	9	29	29	29	12	8	9	0	0	0	0	12	8	9	0	0	0	0	12	8	9	0	0	0	0	9.7708872E7	9.6393784E7	9.6064608E7	0.0	0.0	5.1223648E7	5.5994788E7	2.8914E7	2.8833238E7	2.7465558E7	0.0	0.0	2.9666536E7	3.1721514E7	
sp|O95433|AHSA1_HUMAN	O95433	AHSA1_HUMAN	AHSA1	338	Homo sapiens	1:Experimental evidence at protein level	Activator of 90 kDa heat shock protein ATPase homolog 1	1.0	0.9989	9	19	19	19	9	5	5	0	0	0	0	9	5	5	0	0	0	0	9	5	5	0	0	0	0	7.6487816E7	5.5145604E7	8.624004E7	0.0	0.0	0.0	1.0704839E7	1.3935065E7	1.2972956E7	1.345048E7	0.0	0.0	0.0	0.0	
sp|O95445|APOM_HUMAN	O95445	APOM_HUMAN	APOM	188	Homo sapiens	1:Experimental evidence at protein level	Apolipoprotein M	1.0	0.9977	2	10	10	10	3	3	4	0	0	0	0	3	3	4	0	0	0	0	3	3	4	0	0	0	0	1.557472E7	1.7130152E7	1.7593088E7	0.0	0.0	1.8000742E7	0.0	1.0806226E7	1.2240475E7	1.3063074E7	0.0	0.0	0.0	0.0	
sp|O95747|OXSR1_HUMAN	O95747	OXSR1_HUMAN	OXSR1	527	Homo sapiens	1:Experimental evidence at protein level	Serine/threonine-protein kinase OSR1	1.0	0.9966	2	6	6	6	1	2	3	0	0	0	0	1	2	3	0	0	0	0	1	2	3	0	0	0	0	4603268.5	7149158.0	5229054.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O95757|HS74L_HUMAN	O95757	HS74L_HUMAN	HSPA4L	839	Homo sapiens	1:Experimental evidence at protein level	Heat shock 70 kDa protein 4L	1.0	0.99	6	8	8	14	4	2	2	0	0	0	0	4	2	2	0	0	0	0	6	4	3	0	0	1	0	944469.0	2154973.0	3583530.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O95777|LSM8_HUMAN	O95777	LSM8_HUMAN	LSM8	96	Homo sapiens	1:Experimental evidence at protein level	U6 snRNA-associated Sm-like protein LSm8	0.8248	0.9964	1	2	2	2	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	4722213.5	0.0	4525742.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O95782|AP2A1_HUMAN	O95782	AP2A1_HUMAN	AP2A1	977	Homo sapiens	1:Experimental evidence at protein level	AP-2 complex subunit alpha-1	1.0	0.9988	6	10	8	10	3	3	3	0	0	1	0	2	3	2	0	0	1	0	3	3	3	0	0	1	0	1.7597004E7	1.4995714E7	1.6848122E7	0.0	0.0	0.0	0.0	7190496.0	7808772.5	6910396.5	0.0	0.0	0.0	0.0	
sp|O95816|BAG2_HUMAN	O95816	BAG2_HUMAN	BAG2	211	Homo sapiens	1:Experimental evidence at protein level	BAG family molecular chaperone regulator 2	1.0	0.9989	6	13	13	13	7	2	4	0	0	0	0	7	2	4	0	0	0	0	7	2	4	0	0	0	0	4.8160496E7	4.1524308E7	4.6547456E7	0.0	0.0	2.4468588E7	2.9610292E7	1.1140865E7	1.0259265E7	1.1536634E7	0.0	0.0	1.5256327E7	1.2565012E7	
sp|O95817|BAG3_HUMAN	O95817	BAG3_HUMAN	BAG3	575	Homo sapiens	1:Experimental evidence at protein level	BAG family molecular chaperone regulator 3	1.0	0.9955	2	2	2	2	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	991725.7	1212611.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O95831|AIFM1_HUMAN	O95831	AIFM1_HUMAN	AIFM1	613	Homo sapiens	1:Experimental evidence at protein level	Apoptosis-inducing factor 1, mitochondrial	1.0	0.999	8	24	24	24	7	9	7	0	0	0	1	7	9	7	0	0	0	1	7	9	7	0	0	0	1	6.8408168E7	6.1867588E7	7.8367648E7	0.0	0.0	0.0	8246951.5	1.7218672E7	1.6567259E7	1.736663E7	0.0	0.0	0.0	0.0	
sp|O95881|TXD12_HUMAN	O95881	TXD12_HUMAN	TXNDC12	172	Homo sapiens	1:Experimental evidence at protein level	Thioredoxin domain-containing protein 12	1.0	0.9987	2	5	5	5	2	2	1	0	0	0	0	2	2	1	0	0	0	0	2	2	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O96000|NDUBA_HUMAN	O96000	NDUBA_HUMAN	NDUFB10	172	Homo sapiens	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10	0.8662	0.9974	1	4	4	4	1	2	1	0	0	0	0	1	2	1	0	0	0	0	1	2	1	0	0	0	0	0.0	1249395.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|O96008|TOM40_HUMAN	O96008	TOM40_HUMAN	TOMM40	361	Homo sapiens	1:Experimental evidence at protein level	Mitochondrial import receptor subunit TOM40 homolog	1.0	0.9983	3	6	6	6	3	2	1	0	0	0	0	3	2	1	0	0	0	0	3	2	1	0	0	0	0	1.330004E7	1.366458E7	1.4161246E7	0.0	0.0	0.0	0.0	7586069.0	8018240.0	8218945.5	0.0	0.0	0.0	0.0	
sp|P00338|LDHA_HUMAN	P00338	LDHA_HUMAN	LDHA	332	Homo sapiens	1:Experimental evidence at protein level	L-lactate dehydrogenase A chain	1.0	0.999	14	269	225	269	57	57	57	23	22	26	27	49	50	49	18	17	21	21	57	57	57	23	22	26	27	2.81893299E9	2.82011315E9	2.85090842E9	1.59548877E9	2.08195648E9	2.81983718E9	2.65017318E9	6.3261568E8	6.5751283E8	6.7171354E8	5.7833664E8	6.0007674E8	6.3904813E8	6.0517171E8	
sp|P00366|DHE3_BOVIN	P00366	DHE3_BOVIN	GLUD1	558	Bos taurus	1:Experimental evidence at protein level	Glutamate dehydrogenase 1, mitochondrial	1.0	0.999	10	39	0	39	14	13	12	0	0	0	0	0	0	0	0	0	0	0	14	13	12	0	0	0	0	7.6966968E7	8.2808048E7	7.9431096E7	0.0	0.0	0.0	9195531.0	1.1447943E7	1.2048005E7	1.2204003E7	0.0	0.0	0.0	0.0	sp|P00367|DHE3_HUMAN
sp|P00387|NB5R3_HUMAN	P00387	NB5R3_HUMAN	CYB5R3	301	Homo sapiens	1:Experimental evidence at protein level	NADH-cytochrome b5 reductase 3	1.0	0.9959	3	6	6	6	2	2	2	0	0	0	0	2	2	2	0	0	0	0	2	2	2	0	0	0	0	1.6968722E7	1.0335057E7	1.068589E7	0.0	0.0	0.0	0.0	6110284.5	5590453.0	5737623.0	0.0	0.0	0.0	0.0	
sp|P00390|GSHR_HUMAN	P00390	GSHR_HUMAN	GSR	522	Homo sapiens	1:Experimental evidence at protein level	Glutathione reductase, mitochondrial	1.0	0.9919	2	4	4	4	1	2	1	0	0	0	0	1	2	1	0	0	0	0	1	2	1	0	0	0	0	4434919.5	3873946.8	5100038.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P00403|COX2_HUMAN	P00403	COX2_HUMAN	MT-CO2	227	Homo sapiens	1:Experimental evidence at protein level	Cytochrome c oxidase subunit 2	1.0	0.9989	4	33	33	33	8	8	8	1	2	2	4	8	8	8	1	2	2	4	8	8	8	1	2	2	4	1.05841808E8	1.04712536E8	1.14694344E8	3.6988276E7	6.5857216E7	5.4146712E7	9.6811984E7	5.0668552E7	4.864336E7	5.4870568E7	0.0	3.5880096E7	0.0	5.4638112E7	
sp|P00441|SODC_HUMAN	P00441	SODC_HUMAN	SOD1	154	Homo sapiens	1:Experimental evidence at protein level	Superoxide dismutase [Cu-Zn]	1.0	0.999	5	55	55	55	15	15	13	3	2	4	3	15	15	13	3	2	4	3	15	15	13	3	2	4	3	2.75609344E8	2.73919456E8	2.71569408E8	8.2914904E7	6.8448416E7	2.2765168E8	2.27460352E8	8.4587248E7	8.1740304E7	8.2574528E7	8.736244E7	0.0	7.8287072E7	7.6676592E7	
sp|P00491|PNPH_HUMAN	P00491	PNPH_HUMAN	PNP	289	Homo sapiens	1:Experimental evidence at protein level	Purine nucleoside phosphorylase	1.0	0.999	11	54	54	54	19	16	18	0	0	0	1	19	16	18	0	0	0	1	19	16	18	0	0	0	1	1.45974192E8	1.50085712E8	1.40296016E8	0.0	0.0	2.826898E7	3.3958932E7	2.5594444E7	2.7848554E7	2.3625816E7	0.0	0.0	1.6026971E7	2.0158014E7	
sp|P00492|HPRT_HUMAN	P00492	HPRT_HUMAN	HPRT1	218	Homo sapiens	1:Experimental evidence at protein level	Hypoxanthine-guanine phosphoribosyltransferase	1.0	0.9989	7	24	24	24	8	8	8	0	0	0	0	8	8	8	0	0	0	0	8	8	8	0	0	0	0	6.3706452E7	7.1365336E7	5.840218E7	0.0	0.0	8026704.5	5111013.0	2.3283606E7	2.208513E7	2.1817618E7	0.0	0.0	0.0	0.0	
sp|P00505|AATM_HUMAN	P00505	AATM_HUMAN	GOT2	430	Homo sapiens	1:Experimental evidence at protein level	Aspartate aminotransferase, mitochondrial	1.0	0.999	14	108	108	108	27	31	31	1	2	7	9	27	31	31	1	2	7	9	27	31	31	1	2	7	9	4.48873344E8	3.27213504E8	3.35536544E8	1.20404256E8	2.788421E7	2.17429792E8	3.22539648E8	8.7150272E7	8.32646E7	8.5871648E7	0.0	0.0	9.3208688E7	8.5056872E7	
sp|P00533|EGFR_HUMAN	P00533	EGFR_HUMAN	EGFR	1210	Homo sapiens	1:Experimental evidence at protein level	Epidermal growth factor receptor	0.8806	0.9977	1	2	2	2	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P00558|PGK1_HUMAN	P00558	PGK1_HUMAN	PGK1	417	Homo sapiens	1:Experimental evidence at protein level	Phosphoglycerate kinase 1	1.0	0.999	22	518	429	518	120	111	110	36	44	44	53	100	90	89	34	38	36	42	120	111	110	36	44	44	53	3.81005158E9	3.89238707E9	3.82209152E9	1.79365888E9	2.56319872E9	4.13698304E9	3.45910118E9	5.6279456E8	6.109488E8	5.7096896E8	3.67203744E8	5.0557248E8	5.21386368E8	4.92377664E8	
sp|P00568|KAD1_HUMAN	P00568	KAD1_HUMAN	AK1	194	Homo sapiens	1:Experimental evidence at protein level	Adenylate kinase isoenzyme 1	1.0	0.9987	7	17	15	17	7	4	6	0	0	0	0	6	4	5	0	0	0	0	7	4	6	0	0	0	0	4.0695548E7	2.5491908E7	2.7646598E7	0.0	0.0	0.0	1.6746011E7	1.3025859E7	1.1727991E7	1.2037137E7	0.0	0.0	0.0	0.0	
sp|P00734|THRB_HUMAN	P00734	THRB_HUMAN	F2	622	Homo sapiens	1:Experimental evidence at protein level	Prothrombin	1.0	0.999	2	24	24	24	7	7	6	0	1	1	2	7	7	6	0	1	1	2	7	7	6	0	1	1	2	6.477414E7	6.8929352E7	5.731506E7	0.0	3.2613256E7	3.5930988E7	4.2411732E7	4.5426952E7	5.073674E7	3.7980972E7	0.0	0.0	0.0	3.0982978E7	
sp|P00747|PLMN_HUMAN	P00747	PLMN_HUMAN	PLG	810	Homo sapiens	1:Experimental evidence at protein level	Plasminogen	0.7221	0.9936	1	9	9	9	3	4	2	0	0	0	0	3	4	2	0	0	0	0	3	4	2	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	0.9316	0.9988	1	47	47	47	9	8	8	4	4	7	7	9	8	8	4	4	7	7	9	8	8	4	4	7	7	1.16093786E9	1.19190003E9	1.19768115E9	2.41102544E8	1.89566272E8	1.45292442E9	1.49561818E9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P00966|ASSY_HUMAN	P00966	ASSY_HUMAN	ASS1	412	Homo sapiens	1:Experimental evidence at protein level	Argininosuccinate synthase	1.0	0.999	14	180	180	180	46	43	45	8	10	13	15	46	43	45	8	10	13	15	46	43	45	8	10	13	15	8.1729517E8	8.3161926E8	8.729657E8	2.4582712E8	4.61944896E8	7.0888845E8	7.5464134E8	1.31160512E8	1.38142912E8	1.45004144E8	1.30359672E8	1.27432376E8	1.39784656E8	1.39568848E8	
sp|P01008|ANT3_HUMAN	P01008	ANT3_HUMAN	SERPINC1	464	Homo sapiens	1:Experimental evidence at protein level	Antithrombin-III	1.0	0.9985	3	12	12	12	4	3	5	0	0	0	0	4	3	5	0	0	0	0	4	3	5	0	0	0	0	2.4683924E7	3.3346462E7	2.9217382E7	0.0	0.0	0.0	8698211.0	1.5103336E7	1.4668781E7	1.4805761E7	0.0	0.0	0.0	0.0	
sp|P01023|A2MG_HUMAN	P01023	A2MG_HUMAN	A2M	1474	Homo sapiens	1:Experimental evidence at protein level	Alpha-2-macroglobulin	1.0	0.999	4	38	33	38	11	11	11	0	1	2	2	9	10	9	0	1	2	2	11	11	11	0	1	2	2	1.32265152E8	1.35144144E8	1.31412784E8	0.0	0.0	1.03823592E8	8.9647752E7	4.667148E7	4.666588E7	4.5788176E7	0.0	0.0	5.7056036E7	6.7810616E7	
sp|P01024|CO3_HUMAN	P01024	CO3_HUMAN	C3	1663	Homo sapiens	1:Experimental evidence at protein level	Complement C3	1.0	0.999	9	79	79	79	24	19	20	1	1	7	7	24	19	20	1	1	7	7	24	19	20	1	1	7	7	4.04712704E8	4.26551552E8	4.20571392E8	2455465.0	9825579.0	2.5539352E8	3.14098656E8	1.02644296E8	1.03315696E8	1.03910376E8	0.0	0.0	9.0750248E7	9.486584E7	
sp|P01111|RASN_HUMAN	P01111	RASN_HUMAN	NRAS	189	Homo sapiens	1:Experimental evidence at protein level	GTPase NRas	0.9256	0.9987	1	7	0	7	2	3	2	0	0	0	0	0	0	0	0	0	0	0	2	3	2	0	0	0	0	6874774.0	5942532.0	7379597.0	0.0	0.0	1.1880934E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	sp|P01112|RASH_HUMAN, sp|P01116|RASK_HUMAN
sp|P02042|HBD_HUMAN	P02042	HBD_HUMAN	HBD	147	Homo sapiens	1:Experimental evidence at protein level	Hemoglobin subunit delta	1.0	0.999	2	65	0	65	15	16	16	1	3	7	7	0	0	0	0	0	0	0	15	16	16	1	3	7	7	4.74971904E8	4.88124928E8	4.6788864E8	1591427.0	8.0900632E7	3.39711104E8	3.0491616E8	2.52627008E8	2.58066704E8	2.48801984E8	0.0	5.467272E7	2.38353168E8	2.17259456E8	sp|P68871|HBB_HUMAN
sp|P02545|LMNA_HUMAN	P02545	LMNA_HUMAN	LMNA	664	Homo sapiens	1:Experimental evidence at protein level	Prelamin-A/C	1.0	0.999	37	417	396	417	100	100	92	25	25	37	38	96	95	88	23	24	35	35	100	100	92	25	25	37	38	1.8500279E9	1.83544282E9	1.95183757E9	7.6666426E8	8.7547546E8	1.66555866E9	1.60284134E9	1.66264064E8	1.6870664E8	1.78021408E8	1.60316784E8	1.65358976E8	1.58533024E8	1.65733216E8	
sp|P02647|APOA1_HUMAN	P02647	APOA1_HUMAN	APOA1	267	Homo sapiens	1:Experimental evidence at protein level	Apolipoprotein A-I	0.9303	0.9987	1	4	4	4	2	1	1	0	0	0	0	2	1	1	0	0	0	0	2	1	1	0	0	0	0	1.8912938E7	1.2214093E7	1.1514152E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P02649|APOE_HUMAN	P02649	APOE_HUMAN	APOE	317	Homo sapiens	1:Experimental evidence at protein level	Apolipoprotein E	0.7079	0.9931	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	5.0620348E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P02760|AMBP_HUMAN	P02760	AMBP_HUMAN	AMBP	352	Homo sapiens	1:Experimental evidence at protein level	Protein AMBP	0.844	0.9969	1	16	16	16	4	3	3	2	1	1	2	4	3	3	2	1	1	2	4	3	3	2	1	1	2	5.0988856E7	5.1764448E7	5.2804476E7	4.4095272E7	0.0	3.9662212E7	4.5068788E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P02765|FETUA_HUMAN	P02765	FETUA_HUMAN	AHSG	367	Homo sapiens	1:Experimental evidence at protein level	Alpha-2-HS-glycoprotein	1.0	0.999	3	88	88	88	15	18	15	10	10	10	10	15	18	15	10	10	10	10	15	18	15	10	10	10	10	1.35972058E9	1.4106679E9	1.45753114E9	1.35799002E9	1.60993446E9	1.42817856E9	1.42763994E9	8.8757126E8	1.01538509E9	1.07342362E9	9.0167424E8	8.6754458E8	7.8714822E8	8.007879E8	
sp|P02769|ALBU_BOVIN	P02769	ALBU_BOVIN	ALB	607	Bos taurus	1:Experimental evidence at protein level	Albumin	1.0	0.999	40	745	616	745	161	167	175	40	54	69	79	135	142	145	30	43	58	63	161	167	175	40	54	69	79	5.7621555E9	5.787902E9	5.8761615E9	1.99431987E9	3.09947827E9	4.9295068E9	5.0589404E9	4.20604352E8	4.12599584E8	4.21273632E8	2.99317152E8	3.29577696E8	3.732976E8	3.7303424E8	
sp|P02771|FETA_HUMAN	P02771	FETA_HUMAN	AFP	609	Homo sapiens	1:Experimental evidence at protein level	Alpha-fetoprotein	0.9999	0.9954	2	4	4	4	2	0	1	0	0	0	1	2	0	1	0	0	0	1	2	0	1	0	0	0	1	1.9071136E7	2.1104584E7	1.8435386E7	0.0	0.0	2.1125628E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P02786|TFR1_HUMAN	P02786	TFR1_HUMAN	TFRC	760	Homo sapiens	1:Experimental evidence at protein level	Transferrin receptor protein 1	1.0	0.999	21	146	146	146	45	44	42	0	1	7	7	45	44	42	0	1	7	7	45	44	42	0	1	7	7	6.1952448E8	5.5798758E8	6.0880397E8	0.0	4.2862364E7	4.26711328E8	3.98153728E8	5.9726348E7	6.00672E7	6.3745336E7	0.0	0.0	6.1113772E7	6.1105528E7	
sp|P02795|MT2_HUMAN	P02795	MT2_HUMAN	MT2A	61	Homo sapiens	1:Experimental evidence at protein level	Metallothionein-2	0.9956	0.999	2	17	0	17	3	4	4	2	2	0	2	0	0	0	0	0	0	0	3	4	4	2	2	0	2	5.6720716E7	5.772572E7	5.8895568E7	4.8472776E7	5.5610388E7	2.1017528E7	4.6397484E7	3.4050968E7	3.4887412E7	3.5254524E7	3.0637538E7	3.4793412E7	0.0	2.9048E7	sp|P13640|MT1G_HUMAN, sp|P80297|MT1X_HUMAN
sp|P03915|NU5M_HUMAN	P03915	NU5M_HUMAN	MT-ND5	603	Homo sapiens	1:Experimental evidence at protein level	NADH-ubiquinone oxidoreductase chain 5	0.8225	0.9964	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2829545.8	1527160.4	2473465.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P04004|VTNC_HUMAN	P04004	VTNC_HUMAN	VTN	478	Homo sapiens	1:Experimental evidence at protein level	Vitronectin	1.0	0.9989	3	9	9	9	2	4	3	0	0	0	0	2	4	3	0	0	0	0	2	4	3	0	0	0	0	1.410423E7	2.1051474E7	2.0733368E7	0.0	0.0	0.0	1.7637094E7	0.0	1.3929074E7	1.3808009E7	0.0	0.0	0.0	0.0	
sp|P04040|CATA_HUMAN	P04040	CATA_HUMAN	CAT	527	Homo sapiens	1:Experimental evidence at protein level	Catalase	1.0	0.999	11	26	26	26	10	8	7	0	0	0	1	10	8	7	0	0	0	1	10	8	7	0	0	0	1	5.7177656E7	7.35828E7	6.3655564E7	0.0	0.0	0.0	1.2237345E7	1.1754873E7	1.1778475E7	1.200374E7	0.0	0.0	0.0	9819625.0	
sp|P04075|ALDOA_HUMAN	P04075	ALDOA_HUMAN	ALDOA	364	Homo sapiens	1:Experimental evidence at protein level	Fructose-bisphosphate aldolase A	1.0	0.999	22	356	57	356	82	87	78	20	24	31	34	15	15	16	0	2	4	5	82	87	78	20	24	31	34	2.37050726E9	2.43896883E9	2.24088755E9	9.0134765E8	1.16884058E9	1.97396902E9	2.0877463E9	2.69693312E8	2.7733232E8	2.66138544E8	2.6145576E8	2.34888128E8	2.46885552E8	2.55937536E8	
sp|P04080|CYTB_HUMAN	P04080	CYTB_HUMAN	CSTB	98	Homo sapiens	1:Experimental evidence at protein level	Cystatin-B	1.0	0.999	6	37	37	37	11	13	10	0	0	1	2	11	13	10	0	0	1	2	11	13	10	0	0	1	2	1.96848288E8	1.4517832E8	1.92315856E8	0.0	0.0	1.17975968E8	1.18098128E8	4.7758612E7	4.5206824E7	4.8165272E7	0.0	0.0	4.4318232E7	4.426622E7	
sp|P04083|ANXA1_HUMAN	P04083	ANXA1_HUMAN	ANXA1	346	Homo sapiens	1:Experimental evidence at protein level	Annexin A1	1.0	0.999	19	246	246	246	61	64	59	11	10	19	22	61	64	59	11	10	19	22	61	64	59	11	10	19	22	1.33005965E9	1.347216E9	1.36781645E9	3.3037776E8	4.13705536E8	1.04747706E9	9.1614182E8	1.7327024E8	1.7378288E8	1.85308272E8	1.57427296E8	1.6619984E8	1.6890328E8	1.58913424E8	
sp|P04114|APOB_HUMAN	P04114	APOB_HUMAN	APOB	4563	Homo sapiens	1:Experimental evidence at protein level	Apolipoprotein B-100	1.0	0.998	2	3	3	3	1	0	2	0	0	0	0	1	0	2	0	0	0	0	1	0	2	0	0	0	0	4817429.5	4549765.0	4306576.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P04179|SODM_HUMAN	P04179	SODM_HUMAN	SOD2	222	Homo sapiens	1:Experimental evidence at protein level	Superoxide dismutase [Mn], mitochondrial	1.0	0.9978	4	11	11	11	4	4	3	0	0	0	0	4	4	3	0	0	0	0	4	4	3	0	0	0	0	5.3872236E7	7.2510032E7	6.3588136E7	0.0	0.0	2.9716246E7	1.7336666E7	2.2641786E7	2.6163448E7	2.615663E7	0.0	0.0	0.0	0.0	
sp|P04217|A1BG_HUMAN	P04217	A1BG_HUMAN	A1BG	495	Homo sapiens	1:Experimental evidence at protein level	Alpha-1B-glycoprotein	0.7966	0.9957	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	3770062.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P04406|G3P_HUMAN	P04406	G3P_HUMAN	GAPDH	335	Homo sapiens	1:Experimental evidence at protein level	Glyceraldehyde-3-phosphate dehydrogenase	1.0	0.999	13	533	482	533	110	109	107	48	43	56	60	103	101	99	41	38	47	53	110	109	107	48	43	56	60	7.6003533E9	7.4195092E9	7.4677673E9	2.55406285E9	4.4239887E9	7.3578035E9	7.3933972E9	1.1949609E9	1.19713037E9	1.21812582E9	3.23488544E8	5.4671878E8	1.21683814E9	1.13373171E9	
sp|P04439|HLAA_HUMAN	P04439	HLAA_HUMAN	HLA-A	365	Homo sapiens	1:Experimental evidence at protein level	HLA class I histocompatibility antigen, A alpha chain	1.0	0.998	4	10	9	10	3	4	3	0	0	0	0	3	3	3	0	0	0	0	3	4	3	0	0	0	0	2.8799128E7	3.0859808E7	3.017986E7	0.0	0.0	0.0	0.0	1.3298511E7	1.4159984E7	1.4096173E7	0.0	0.0	0.0	0.0	
